parent_symbol,child_symbol,beta,PIP,LFSR
SETDB1,ARID5A,0.00452210987192929,0.0,0.3235
SON,ARID5A,-0.0122388943856989,0.0,0.0
SP110,ARID5A,-0.00748960200249913,0.0,0.0
SREBF1,ARID5A,-0.00533688414920229,0.0,0.0
STAT1,ARID5A,-0.0181668028592609,0.0,0.0
STAT2,ARID5A,-0.00443860690877844,0.0,0.0
STAT3,ARID5A,-0.0123600729383822,0.0,0.0
STAT5A,ARID5A,-0.00337346244960756,0.0,0.324
STAT5B,ARID5A,-0.00336807188121745,0.0,0.0
TBX21,ARID5A,-0.0285943409255958,0.0,0.0
TCF3,ARID5A,-0.00532822154589825,0.0,0.0005
TET2,ARID5A,-0.00215024779316144,0.0,0.315
TNFAIP3,ARID5A,-0.0806536175703911,1.0,0.0
TP53,ARID5A,-0.0134878960899431,0.0,0.0
TTF1,ARID5A,-0.0167301385181983,0.0,0.0
YBX1,ARID5A,-0.0295624456490897,0.0,0.0
YBX3,ARID5A,-0.0103993649939209,0.0,0.0
YY1,ARID5A,0.00139707171463333,0.0,0.3725
ZBTB14,ARID5A,0.000602590187729937,0.0,0.046
ZBTB24,ARID5A,-0.0103372949409796,0.0,0.0
ZFP3,ARID5A,-0.0140135539927714,0.0,0.0
ZKSCAN1,ARID5A,-0.0111677258938222,0.0,0.0
ZNF217,ARID5A,-0.00400904348143828,0.0,0.0
ZNF319,ARID5A,-0.0087580453244211,0.0,0.0
ZNF329,ARID5A,-0.0115001008411454,0.0,0.0
ZNF331,ARID5A,-0.00132038299710468,0.0,0.0
ZNF341,ARID5A,-0.00800924848158065,0.0,0.046
ZNF575,ARID5A,-0.00546719297077704,0.0,0.0
ZNF655,ARID5A,-0.00260398975289501,0.0,0.0
ZNF708,ARID5A,-0.00758226112002255,0.0,0.0
ZNF791,ARID5A,-0.00250765997424435,0.0,0.324
AIRE,ATMIN,-0.0130002965271533,0.0,0.0
AKAP8,ATMIN,-0.00854608952111318,0.0,0.0
ARID5A,ATMIN,0.00172725787703855,0.0,0.0
ATXN7L3,ATMIN,-0.00568054982115517,0.0,0.0
BACH2,ATMIN,-0.0042846953749165,0.0,0.0
BCL11B,ATMIN,0.00459629362251641,0.0,0.0
